,condition_name,drug_name,affect,summary
87,Acute liver injury,efavirenz,1,"Evidence from clinical trials suggests a causal association between efavirenz and acute liver injury, particularly in patients coinfected with hepatitis B or C. Elevations in liver enzymes (AST and ALT) were observed more frequently in patients treated with efavirenz-containing regimens compared to control arms, with some patients discontinuing due to liver or biliary system disorders. This association is supported by postmarketing experiences, although the exact frequency and causal relationship are harder to establish due to voluntary reporting from an unknown population size."
88,Acute liver injury,terbinafine,1,"The evidence supporting the causal association between terbinafine and acute liver injury includes documented cases of liver failure, some leading to liver transplant or death, in patients with and without preexisting liver disease, as well as reports of hepatitis, cholestasis, and increased hepatic enzymes. Terbinafine tablets are contraindicated for patients with chronic or active liver disease, and liver function tests are recommended before and during treatment, with the advice to discontinue use if liver injury develops. The severity of hepatic events may be worse in patients with underlying liver disease, and patients are warned to report symptoms indicative of liver injury immediately."
89,Acute liver injury,Levofloxacin,1,"Evidence from clinical trials and postmarketing experience indicates that severe hepatotoxicity, which can lead to acute liver injury, has been reported with the use of levofloxacin, particularly in the geriatric population aged 65 years or older. The causal association is supported by these reports, but the exact frequency and mechanism remain less clearly defined due to the voluntary nature of postmarketing reports and the presence of confounding factors."
90,Acute liver injury,Erythromycin,1,I don't know.
91,Acute liver injury,Fluconazole,1,"The evidence suggests a rare but serious causal association between fluconazole and acute liver injury, with clinical trials and post-marketing experience reporting instances of mild transient elevations in liver enzymes, clinical hepatitis, cholestasis, and fulminant hepatic failure, sometimes resulting in fatalities. These adverse hepatic reactions were more frequently observed in patients with severe underlying conditions, such as AIDS or cancer, and were often taking multiple concomitant medications. Liver function typically returned to baseline upon discontinuation of fluconazole."
92,Acute liver injury,darunavir,1,"There is evidence of drug-induced hepatitis, including acute hepatitis and cytolytic hepatitis, associated with darunavir/ritonavir use, with a reported incidence of hepatitis in 0.5% of patients during clinical trials. Post-marketing cases of liver injury, some fatal, have been reported, particularly in patients with advanced HIV-1 disease, co-morbidities such as hepatitis B or C co-infection, or those experiencing immune reconstitution syndrome; however, a direct causal relationship with darunavir/ritonavir therapy has not been definitively established. Monitoring liver function before and during therapy is recommended, especially in patients with pre-existing liver dysfunction or elevated transaminases."
93,Acute liver injury,Rifampin,1,"Clinical studies and postmarketing reports have associated the use of rifampin with hepatotoxicity, including transient abnormalities in liver function tests, hepatitis, hepatic involvement with a shock-like syndrome, and cholestasis. However, due to the voluntary nature of many of these reports and the uncertain size of the population, it is challenging to reliably estimate the frequency of these adverse events or establish a definitive causal relationship to rifampin exposure."
94,Acute liver injury,Griseofulvin,0,"Post-marketing reports and the provided documentation indicate that griseofulvin use has been associated with severe hepatic adverse events, including hepatitis, elevated liver enzymes, hyperbilirubinemia, and jaundice, which may necessitate hospitalization or lead to death. Patients on griseofulvin should be monitored for hepatic adverse events, and the drug should be discontinued if serious hepatotoxicity is suspected."
95,Acute liver injury,Stavudine,1,"Evidence from postmarketing surveillance indicates that stavudine use, particularly in combination with hydroxyurea and didanosine, is associated with hepatotoxicity and potentially fatal hepatic adverse events, especially in HIV-infected patients with preexisting liver dysfunction or significant underlying liver disease. The coadministration of stavudine with didanosine is contraindicated due to the risk of fatal hepatic events, and the combination with hydroxyurea should be avoided. Monitoring for liver function abnormalities is recommended, and treatment discontinuation should be considered if there is evidence of worsening liver disease."
96,Acute liver injury,isoniazid,1,"Evidence indicates a causal association between isoniazid and acute liver injury, with increased risk factors including daily alcohol use, chronic liver disease, and certain demographics such as women, particularly black and Hispanic women in the postpartum period. Hepatitis associated with isoniazid can be severe and sometimes fatal, with the risk of liver damage being age-related and higher among those with pre-existing liver conditions or certain lifestyle factors. Regular monitoring of liver function tests is recommended, and if significant abnormalities are detected, discontinuation of isoniazid should be strongly considered."
97,Acute liver injury,gatifloxacin,0,I don't know.
98,Acute liver injury,Ciprofloxacin,1,"Evidence from clinical trials and postmarketing experience suggests a causal association between ciprofloxacin and acute liver injury, as hepatic failure, including fatal cases, has been reported. Laboratory changes indicative of hepatotoxicity, such as elevations of ALT, AST, alkaline phosphatase, LDH, and serum bilirubin, have been observed in patients on ciprofloxacin. However, due to the voluntary nature of postmarketing reports, the exact frequency and establishment of a causal relationship to drug exposure are not always reliable."
99,Acute liver injury,Cyclosporine,1,"The evidence from clinical studies and adverse reaction reports suggests that acute liver injury is a rare but recognized adverse event associated with cyclosporine use, occurring in less than 1% of patients in clinical trials involving kidney, heart, and liver transplants. Routine monitoring of liver function is recommended in patients receiving cyclosporine, indicating a known risk of hepatotoxicity. The causal association is supported by the need for dosage adjustments in the presence of liver function impairment and the drug's extensive metabolism by hepatic enzymes."
100,Acute liver injury,Penicillamine,1,"The evidence from clinical trials and reported adverse reactions indicates that penicillamine therapy can lead to hepatic dysfunction, including hepatic failure, intraheptic cholestasis, and toxic hepatitis, although these events are considered rare. The association between penicillamine and acute liver injury is supported by isolated cases and reports of hepatic enzyme alterations, but the overall incidence is not quantified in the provided documents."
101,Acute kidney injury,Thiothixene,0,"The provided documents do not report acute kidney injury as an adverse reaction to thiothixene. They detail various other side effects, including cardiovascular, CNS effects, extrapyramidal symptoms, and hematologic effects, but there is no mention of acute kidney injury specifically associated with thiothixene use. Therefore, based on the given context, there is no evidence supporting a causal association between thiothixene and acute kidney injury."
102,Acute kidney injury,Methocarbamol,0,"The provided documents do not establish a direct causal association between methocarbamol and acute kidney injury; instead, they list various adverse reactions such as anaphylactic reactions, dyspepsia, jaundice, leukopenia, and hypersensitivity reactions, among others. Acute kidney injury is not mentioned as a known adverse reaction in the context of methocarbamol administration according to the available documents."
103,Acute kidney injury,Neostigmine,0,"Current evidence does not directly associate neostigmine with acute kidney injury (AKI); however, its elimination half-life is prolonged in patients with renal impairment, suggesting that neostigmine concentrations may increase in such individuals. No specific dosing adjustments are recommended for renal function impairment, but close and extended monitoring is advised, particularly to ensure that the effects of any neuromuscular blocking agents, especially those cleared by the kidneys, do not outlast those of neostigmine."
104,Acute kidney injury,Nortriptyline,0,I don't know.
105,Acute kidney injury,Phentermine,0,"Current evidence suggests that phentermine is substantially excreted by the kidneys, and its exposure increases in patients with renal impairment, warranting caution in dose selection and administration, especially in those with severe renal impairment (eGFR 15 to 29 mL/min/1.73 m^2). However, there is no direct mention of acute kidney injury as an adverse event in the provided documents, indicating a lack of established causal association between phentermine and acute kidney injury in the available literature."
106,Acute kidney injury,Disulfiram,0,"The provided documents do not contain direct evidence supporting a causal association between Disulfiram and acute kidney injury. They focus on hepatic toxicity, including hepatic failure, and other adverse reactions such as optic neuritis, peripheral neuropathy, and the disulfiram-alcohol reaction. Acute kidney injury is not mentioned as a known adverse event in the context of Disulfiram use."
107,Acute kidney injury,orlistat,0,"Current evidence does not establish a direct causal relationship between orlistat and acute kidney injury; however, orlistat has been associated with oxalate nephrolithiasis and oxalate nephropathy, which can lead to renal failure. Patients treated with orlistat who are at risk for renal insufficiency should have their renal function monitored, and orlistat should be discontinued if oxalate nephropathy develops."
108,Acute kidney injury,Primidone,0,I don't know.
109,Acute kidney injury,Prochlorperazine,0,I don't know.
110,Acute kidney injury,Imipramine,0,I don't know.
111,Acute kidney injury,metaxalone,0,I don't know.
112,Acute kidney injury,ramelteon,0,"There is no direct evidence provided in the provided documents to support a causal association between ramelteon and acute kidney injury. The documents focus on the effects of ramelteon on balance, mobility, memory, and respiratory parameters in various populations, including those with COPD and sleep apnea, and mention that no dosage adjustment is required for patients with renal impairment, indicating no significant renal effects were observed."
113,Acute kidney injury,Chlorazepate,0,I don't know.
114,Acute kidney injury,Clozapine,0,"Clozapine has been associated with acute interstitial nephritis, which can lead to renal failure, as documented in the provided context. This adverse event is part of the spectrum of hypersensitivity reactions and organ-specific toxicities that can occur with clozapine treatment, and it may necessitate discontinuation of the medication and appropriate medical intervention."
115,Acute kidney injury,Temazepam,0,I don't know.
116,Acute kidney injury,Methenamine,0,"The provided documents do not contain specific information regarding the causal association between Methenamine and acute kidney injury. They primarily discuss the renal effects and interactions of ketorolac tromethamine with other drugs, as well as its potential adverse effects on renal function when used during pregnancy or with certain medications. Therefore, based on the given context, I cannot provide a summary of the evidence supporting the causal association between Methenamine and acute kidney injury."
117,Acute kidney injury,Urea,0,"The provided documents do not establish a direct causal association between urea and acute kidney injury (AKI); instead, they report that increases in blood urea nitrogen (BUN) and serum creatinine, which are markers of renal function, were observed in a small percentage of patients treated with ACE inhibitors like quinapril and lisinopril, particularly when used in conjunction with diuretic therapy. These increases were often reversible upon continuation of therapy or adjustment of diuretic dosage, suggesting a potential for renal function compromise, which could lead to AKI under certain circumstances, rather than a direct causative relationship between urea itself and AKI."
118,Acute kidney injury,Miconazole,0,"There is evidence of a causal association between voriconazole and acute kidney injury, as acute renal failure has been observed in patients undergoing treatment with voriconazole, particularly those who may also be receiving nephrotoxic medications or have pre-existing conditions affecting renal function. Monitoring of renal function, including serum creatinine, is recommended during voriconazole therapy."
119,Acute kidney injury,darifenacin,0,I don't know.
120,Acute kidney injury,Hyoscyamine,0,"The provided documents do not contain direct evidence supporting a causal association between hyoscyamine and acute kidney injury. However, they do mention that hyoscyamine sulfate is substantially excreted by the kidney and that the risk of toxic reactions may be greater in patients with impaired renal function, indicating a need for cautious dose selection and potential monitoring of renal function in such patients."
121,Acute kidney injury,Dicyclomine,0,"The available evidence does not establish a direct causal relationship between dicyclomine and acute kidney injury; however, caution is advised when administering dicyclomine to patients with renal impairment, as the drug is substantially excreted by the kidney and the risk of toxic reactions may be greater in this population. Clinical trials and postmarketing experiences have not specifically reported acute kidney injury as an adverse event associated with dicyclomine."
122,Acute kidney injury,infliximab,0,"The provided documents primarily discuss the immunogenicity of infliximab, including the development of anti-drug antibodies and their potential impact on drug efficacy and infusion reactions, but do not directly address the causal association between infliximab and acute kidney injury. Therefore, based on the given context, there is no evidence presented here to support a causal relationship between infliximab and acute kidney injury. Additional research and clinical data would be required to establish such an association."
123,Acute kidney injury,Prilocaine,0,"The provided documents do not establish a direct causal association between prilocaine and acute kidney injury. They focus on the risk of methemoglobinemia, systemic toxicity, and interactions with other drugs that may lead to methemoglobinemia when used concurrently with prilocaine. There is mention of prilocaine potentially increasing creatine phosphokinase levels, which could interfere with diagnostic tests for acute myocardial infarction, but no direct link to acute kidney injury is provided in the context."
124,Acute kidney injury,Flavoxate,0,"There is no direct evidence provided in the provided documents to support a causal association between Flavoxate and acute kidney injury. The adverse reactions listed for Flavoxate include dysuria, but acute kidney injury is not mentioned. Additionally, there are no data on the frequency of the observed adverse reactions, which limits the ability to establish a causal relationship."
125,Acute kidney injury,Scopolamine,0,I don't know.
126,Acute kidney injury,Hydrochlorothiazide,1,"Hydrochlorothiazide has been associated with renal adverse reactions such as renal failure, renal dysfunction, and interstitial nephritis, which may manifest in patients with impaired renal function and could potentially precipitate acute kidney injury (AKI). The drug's cumulative effects may develop in such patients, leading to azotemia, especially when there is pre-existing renal disease. This causal association is supported by postmarketing experience and warnings in the medical literature, although the exact frequency of AKI related to hydrochlorothiazide use is not reliably estimated due to voluntary reporting."
127,Acute kidney injury,Ketoconazole,0,"The provided documents do not establish a direct causal association between Ketoconazole, specifically in its topical cream form, and acute kidney injury. The adverse reactions listed for Ketoconazole Cream 2% mainly include severe irritation, pruritus, stinging, and rare reports of contact dermatitis, with no mention of acute kidney injury. Hepatitis and effects on hormone levels have been observed with oral administration, but these are not linked to the topical application of the drug."
128,Acute kidney injury,Ketotifen,0,"The provided context discusses the use of NSAIDs, specifically ketorolac tromethamine, and its potential adverse effects on fetal and neonatal renal function when used during pregnancy, particularly after 20 weeks gestation. However, there is no direct evidence or mention of ketotifen, a different medication, being associated with acute kidney injury in the provided documents. Therefore, based on the given context, a causal association between ketotifen and acute kidney injury cannot be established."
129,Acute kidney injury,Lactulose,0,"Current evidence does not directly associate lactulose with acute kidney injury (AKI). However, excessive dosage leading to diarrhea can result in complications such as loss of fluids, hypokalemia, and hypernatremia, which are conditions that can indirectly contribute to AKI. Regular monitoring of serum electrolytes is recommended for elderly, debilitated patients on long-term lactulose therapy to prevent such complications."
130,Acute kidney injury,Chlorothiazide,1,"The provided documents do not directly address the causal association between Chlorothiazide and Acute Kidney Injury (AKI). However, they mention that Chlorothiazide is substantially excreted by the kidney and that the risk of toxic reactions may be greater in patients with impaired renal function, suggesting a potential for renal adverse effects. Additionally, renal dysfunction and interstitial nephritis are listed as possible adverse reactions to hydrochlorothiazide, a related thiazide diuretic, which may imply a class effect that could include AKI. Monitoring renal function is advised, especially in the elderly or those with existing renal impairment."
131,Acute kidney injury,Tetrahydrocannabinol,0,I don't know.
132,Acute kidney injury,almotriptan,0,"There is no direct evidence provided in the provided context that establishes a causal relationship between almotriptan and acute kidney injury. The documents focus on the treatment of almotriptan overdose, postmarketing adverse reactions without frequency estimation or established causality, and warnings about cardiovascular, cerebrovascular, and gastrointestinal events, but do not mention acute kidney injury as a known adverse event."
133,Acute kidney injury,zafirlukast,0,I don't know.
134,Acute kidney injury,Naproxen,1,"Long-term use of NSAIDs like naproxen can lead to renal papillary necrosis and other renal injuries, particularly in patients with existing renal impairment, heart failure, liver dysfunction, or dehydration. Naproxen may cause a dose-dependent reduction in prostaglandin formation, leading to decreased renal blood flow and potential acute kidney injury, with the greatest risk in vulnerable populations such as the elderly or those on diuretics and ACE inhibitors. Discontinuation of NSAID therapy typically results in recovery to the pretreatment state, but there is no controlled clinical study data on the use of naproxen in patients with advanced renal disease."
135,Acute kidney injury,oxaprozin,1,"Postmarketing experiences with oxaprozin have identified acute interstitial nephritis, nephrotic syndrome, and acute renal failure as adverse reactions, but due to the voluntary nature of these reports, it is challenging to reliably estimate their frequency or establish a definitive causal relationship to oxaprozin exposure. Additionally, the prescribing information warns of potential renal toxicity, advising monitoring renal function in at-risk patients and cautioning against use in those with advanced renal disease unless the benefit outweighs the risk. Therefore, while there is evidence suggesting an association between oxaprozin and acute kidney injury, causality is not conclusively established."
136,Acute kidney injury,Diflunisal,1,I don't know.
137,Acute kidney injury,benzonatate,0,I don't know.
138,Acute kidney injury,Ketorolac,1,"The provided documents do not directly address the causal association between Ketorolac and acute kidney injury. However, they do indicate that NSAIDs, including Ketorolac, can lead to renal impairment and should be used with caution in patients with compromised renal function or heart failure, conditions which are risk factors for acute kidney injury. Additionally, the documents mention that Ketorolac can affect renal prostaglandin synthesis, which plays a role in kidney function, suggesting a potential mechanism by which Ketorolac could contribute to acute kidney injury."
139,Acute kidney injury,bromfenac,0,"The provided documents do not contain direct evidence supporting a causal association between bromfenac and acute kidney injury. Bromfenac, as a topical ophthalmic NSAID, is primarily associated with adverse reactions such as anterior chamber inflammation, headache, vitreous floaters, iritis, eye pain, and ocular hypertension, with no mention of systemic renal effects in the context provided."
140,Acute kidney injury,Ergotamine,0,I don't know.
141,Acute kidney injury,Piroxicam,1,"The evidence suggests a causal association between Piroxicam, a nonsteroidal anti-inflammatory drug (NSAID), and acute kidney injury, particularly in patients with risk factors such as impaired renal function, dehydration, hypovolemia, heart failure, liver dysfunction, those taking diuretics, ACE inhibitors, or ARBs, and the elderly. Piroxicam can cause a dose-dependent reduction in prostaglandin formation leading to decreased renal blood flow and potential renal decompensation, with renal effects that may worsen preexisting renal disease. Monitoring of renal function is advised when using Piroxicam, especially in patients with underlying renal disease or risk factors, and its use should be avoided in patients with advanced renal disease unless the benefits outweigh the risks."
142,Acute kidney injury,meloxicam,1,"The evidence supporting the causal association between meloxicam and acute kidney injury includes documented renal toxicity such as renal papillary necrosis, renal insufficiency, and acute renal failure with long-term NSAID use, including meloxicam. Patients with impaired renal function, dehydration, hypovolemia, heart failure, liver dysfunction, those taking diuretics, ACE inhibitors, or ARBs, and the elderly are at increased risk. Recovery is typically seen upon discontinuation of NSAID therapy, but meloxicam can exacerbate preexisting renal disease, and monitoring for worsening renal function is advised, especially in patients with advanced renal disease or other risk factors."
143,Acute kidney injury,Fenoprofen,1,"The evidence suggests that long-term use of fenoprofen, a nonsteroidal anti-inflammatory drug (NSAID), can lead to renal papillary necrosis and other forms of renal injury, particularly in patients with existing renal impairment, heart failure, liver dysfunction, or dehydration. Fenoprofen may cause a dose-dependent reduction in prostaglandin formation and renal blood flow, potentially leading to acute kidney injury, especially in high-risk populations such as the elderly or those on diuretics and ACE inhibitors. Discontinuation of NSAID therapy typically results in recovery to the pretreatment state."
144,Acute kidney injury,rizatriptan,0,"The provided documents do not report acute kidney injury as an observed adverse event associated with the administration of rizatriptan benzoate. The adverse events listed are categorized by frequency and body system, with no mention of renal or kidney-related side effects, suggesting that there is no direct evidence from these sources supporting a causal association between rizatriptan and acute kidney injury."
145,Acute kidney injury,Allopurinol,1,"Evidence from medical literature and product labeling indicates that treatment with allopurinol tablets may result in acute kidney injury, particularly due to the formation of xanthine calculi or precipitation of urates, especially in patients with pre-existing kidney disease or those receiving concomitant uricosuric agents. Patients at increased risk, such as those with chronic kidney disease or a history of kidney stones, should be closely monitored for kidney function, and adequate hydration should be maintained to minimize the risk."
146,Acute kidney injury,Ibuprofen,1,"The provided documents do not directly address the causal association between ibuprofen and acute kidney injury (AKI). However, they do mention that long-term use of NSAIDs, including ibuprofen, can lead to renal toxicity, particularly in patients with compromised renal function or those taking diuretics and ACE inhibitors. Discontinuation of NSAID therapy typically results in recovery to the pretreatment state, suggesting a potential reversible effect on renal function."
147,Acute kidney injury,Ketoprofen,1,"The evidence supporting the causal association between ketoprofen, a nonsteroidal anti-inflammatory drug (NSAID), and acute kidney injury includes documented renal effects such as elevation of plasma lithium levels and reduction in renal lithium clearance due to inhibition of renal prostaglandin synthesis by NSAIDs. Additionally, NSAIDs like ketoprofen can increase the risk of renal impairment, especially when used concomitantly with medications such as ACE inhibitors, angiotensin II receptor antagonists, or in conditions like pregnancy where they may cause fetal renal dysfunction leading to oligohydramnios and neonatal renal impairment."
148,Acute kidney injury,frovatriptan,0,"The provided documents do not report acute kidney injury as an observed adverse event associated with the administration of frovatriptan. The adverse events listed in clinical trials and postmarketing experience primarily include central and peripheral nervous system disorders, gastrointestinal issues, and cardiovascular reactions, but there is no mention of frovatriptan causing acute kidney injury. Therefore, based on the available documents, there is no evidence supporting a causal association between frovatriptan and acute kidney injury."
149,Acute kidney injury,eletriptan,0,"The provided documents do not contain any direct evidence or reports linking eletriptan to acute kidney injury. The adverse events associated with eletriptan, as mentioned in the documents, include cerebrovascular events, vasospasm reactions, medication overuse headache, serotonin syndrome, increased blood pressure, anaphylactic reactions, and various cardiac events, but acute kidney injury is not listed among the identified adverse reactions during post-approval use of eletriptan hydrobromide."
150,Acute kidney injury,Etodolac,1,"The evidence suggests that long-term use of NSAIDs like etodolac can lead to renal papillary necrosis and other renal injuries, particularly in patients with existing renal function impairment, heart failure, liver dysfunction, those taking diuretics and ACE inhibitors, and the elderly. Etodolac may cause a dose-dependent reduction in prostaglandin formation, leading to decreased renal blood flow and potential acute kidney injury. Use of etodolac is not recommended in patients with advanced renal disease, and if initiated, close monitoring of renal function is advised."
151,Acute kidney injury,Mefenamate,1,"The evidence suggests that mefenamic acid, a nonsteroidal anti-inflammatory drug (NSAID), can cause acute renal failure, which is a form of acute kidney injury (AKI), although such occurrences are rare. This association is supported by documented cases of renal effects following acute NSAID overdose, including mefenamic acid, where hypertension and acute renal failure have been observed. Additionally, NSAIDs can lead to a dose-dependent decrease in prostaglandin synthesis, resulting in reduced renal blood flow, which may precipitate overt renal decompensation, particularly in patients with existing renal impairment or other risk factors."
152,Acute kidney injury,darbepoetin alfa,0,"The evidence from clinical trials does not directly associate darbepoetin alfa with acute kidney injury; instead, it highlights an increased risk of stroke and other cardiovascular events in patients with chronic kidney disease (CKD) and anemia, particularly in those with a history of stroke or cancer. The TREAT trial showed nearly a two-fold increase in stroke risk with darbepoetin alfa treatment compared to placebo, but the primary endpoints related to renal outcomes, such as progression to end-stage renal disease, were not significantly affected by the drug."
153,Acute kidney injury,Lisinopril,1,"Lisinopril, an ACE inhibitor, can cause acute kidney injury (AKI) as evidenced by symptomatic hypotension that may lead to oliguria, progressive azotemia, and acute renal failure, particularly in patients with risk factors such as heart failure, ischemic heart disease, or those on high dose diuretic therapy. Increases in blood urea nitrogen and serum creatinine, reversible upon discontinuation, have been observed in patients with hypertension and heart failure treated with lisinopril, especially when used concomitantly with diuretics. Monitoring renal function is recommended, and caution is advised when initiating treatment in patients with pre-existing renal impairment or those undergoing major surgery or anesthesia."
154,Acute kidney injury,Adenosine,0,"There is no direct evidence provided in the provided documents linking adenosine to acute kidney injury. The adverse reactions listed for adenosine in controlled U.S. clinical trials and post-marketing experience primarily involve cardiovascular, respiratory, central nervous system, and gastrointestinal effects, without mention of renal complications such as acute kidney injury."
155,Acute kidney injury,moexipril,1,"Evidence suggests a causal association between moexipril, an ACE inhibitor, and acute kidney injury, particularly in hypertensive patients with renal artery stenosis. Increases in blood urea nitrogen and serum creatinine, indicative of kidney injury, have been observed in some patients on moexipril, although these effects are typically reversible upon discontinuation of the drug. Monitoring of renal function is recommended during the initial weeks of moexipril therapy, especially in patients with compromised renal function or those receiving concomitant diuretic therapy."
156,Acute kidney injury,Dacarbazine,0,I don't know.
157,Acute kidney injury,telmisartan,1,"The ONTARGET trial, which included patients with atherosclerotic disease or diabetes with end-organ damage, found that dual blockade of the renin-angiotensin-aldosterone system (RAS) with telmisartan and ramipril led to an increased incidence of renal dysfunction, including acute renal failure, compared to monotherapy with either drug alone. Therefore, there is evidence supporting a causal association between telmisartan, particularly when used in combination with another RAS inhibitor, and acute kidney injury. It is recommended to avoid combined use of RAS inhibitors and to closely monitor renal function in patients on telmisartan."
158,Acute kidney injury,Phentolamine,0,I don't know.
159,Acute kidney injury,Captopril,1,"Clinical evidence suggests that the use of captopril, an ACE inhibitor, can be associated with acute kidney injury, particularly in patients who are elderly, volume-depleted, or have compromised renal function, especially when used in combination with NSAIDs or other agents that affect the renin-angiotensin system. These adverse renal effects are usually reversible upon discontinuation of the drug, and close monitoring of renal function is recommended in at-risk patients."
160,Acute kidney injury,Enalaprilat,1,"Clinical evidence suggests that enalaprilat, an angiotensin-converting enzyme inhibitor, can cause changes in renal function, leading to oliguria, progressive azotemia, and in rare cases, acute renal failure, particularly in patients with severe heart failure or pre-existing renal impairment. These adverse effects are often reversible upon discontinuation of the drug and are more likely when enalaprilat is administered with a diuretic. Monitoring of renal function is recommended during the first few weeks of therapy, especially in hypertensive patients with renal artery stenosis or those with compromised renal function."
161,Acute kidney injury,candesartan,1,"Clinical evidence indicates that candesartan cilexetil, an inhibitor of the renin-angiotensin system, can lead to impaired renal function, including acute kidney injury (AKI), particularly in patients with conditions that make their renal function dependent on the renin-angiotensin system, such as those with renal artery stenosis, chronic kidney disease, severe heart failure, or volume depletion. In the CHARM program, the incidence of abnormal renal function was higher in patients treated with candesartan cilexetil compared to placebo, and a similar trend was observed in the CHARM-Added program, suggesting a causal association between candesartan use and the development of AKI."
162,Acute kidney injury,Flutamide,0,I don't know.
163,Acute kidney injury,Chlorambucil,0,I don't know.
164,Acute kidney injury,Acarbose,0,"The provided documents do not establish a direct causal association between acarbose and acute kidney injury; however, they do indicate that acarbose treatment resulted in a significant increase in the incidence of renal tumors in Sprague-Dawley rats at high doses. Long-term clinical trials in diabetic patients with significant renal dysfunction have not been conducted, and therefore, treatment with acarbose in patients with serum creatinine levels above 2.0 mg/dL is not recommended."
165,Acute kidney injury,Tinidazole,0,I don't know.
166,Acute kidney injury,Acyclovir,1,"The provided documents do not contain information on the causal association between Acyclovir and Acute kidney injury. They focus on voriconazole and celecoxib, discussing their potential renal side effects and monitoring recommendations, but do not mention Acyclovir. Therefore, based on the provided context, I cannot summarize the evidence for a causal association between Acyclovir and Acute kidney injury."
167,Acute kidney injury,entecavir,0,"The evidence for a causal association between entecavir and acute kidney injury is suggested by clinical trial data showing a confirmed increase in serum creatinine of 0.5 mg/dL in 11% of subjects treated with entecavir through Week 48, indicating potential renal impairment. Additionally, dosage adjustments are recommended for patients with renal impairment, and renal function must be monitored in liver transplant recipients receiving entecavir, especially when concomitant immunosuppressants known to affect renal function are used."
168,Acute kidney injury,Nelfinavir,0,"The provided documents do not contain direct evidence supporting a causal association between Nelfinavir and acute kidney injury. The adverse reactions detailed for Nelfinavir include diarrhea, peripheral neurologic symptoms/neuropathy, nausea, headache, rash, vomiting, and pancreatitis, but there is no mention of acute kidney injury in the context of Nelfinavir use."
169,Acute kidney injury,Paromomycin,0,I don't know.
170,Acute kidney injury,Penicillin V,0,I don't know.
171,Acute kidney injury,darunavir,0,"The provided documents do not establish a direct causal association between darunavir and acute kidney injury; however, they mention renal and urinary disorders such as crystal nephropathy and crystalluria as potential adverse events. The evidence for a causal relationship with darunavir/ritonavir therapy in these renal conditions is not explicitly stated, and no specific mention of acute kidney injury is made in the context of darunavir use."
172,Acute kidney injury,Griseofulvin,0,"The provided documents do not establish a direct causal association between griseofulvin and acute kidney injury; however, they do mention rare reports of proteinuria and nephrosis, which can be related to kidney function. These renal adverse events are occasionally associated with systemic lupus erythematosus, and the documents advise periodic monitoring of organ system function, including renal, during prolonged therapy with griseofulvin."
173,Acute kidney injury,gatifloxacin,0,I don't know.
174,Acute kidney injury,Mebendazole,0,"The provided documents do not report a clear association between mebendazole and acute kidney injury. They focus on the risk of birth defects and miscarriages in pregnant women, adverse developmental effects in animal studies, and other adverse reactions such as hematologic effects, hypersensitivity, and skin reactions. Acute kidney injury is not mentioned as an observed adverse event in the context of mebendazole use."
175,Acute kidney injury,Vitamin A,0,I don't know.
176,Acute kidney injury,Cyclosporine,1,"Clinical trials and postmarketing experience have demonstrated that cyclosporine, an immunosuppressive agent, is associated with renal toxicity, including acute kidney injury (AKI), with renal toxicity leading to treatment discontinuation in 5.4% of kidney transplant patients. Renal biopsies in rheumatoid arthritis patients revealed cyclosporine nephropathy in 10% of patients after an average treatment duration of 19 months, with serum creatinine improvement upon discontinuation in most cases. The risk of AKI increases with the dose and duration of cyclosporine therapy, necessitating frequent monitoring of renal function and adjustment of dosage to mitigate potential nephrotoxic effects."
177,Acute myocardial infarction,Thiothixene,0,I don't know.
178,Acute myocardial infarction,Methocarbamol,0,"There is no direct evidence provided in the provided documents to support a causal association between methocarbamol and acute myocardial infarction (AMI). The listed adverse reactions for methocarbamol include various cardiovascular effects such as bradycardia, flushing, hypotension, syncope, and thrombophlebitis, but AMI is not explicitly mentioned. Additional research and clinical data would be required to establish a link between methocarbamol use and the occurrence of AMI."
179,Acute myocardial infarction,Amoxapine,1,"The provided documents do not establish a direct causal association between Amoxapine and Acute myocardial infarction (AMI); however, they do note that myocardial infarction has been reported with drugs in the same class as Amoxapine (tricyclic antidepressants). Patients with cardiovascular disorders are advised to be closely monitored when on tricyclic antidepressants due to potential cardiac side effects, including arrhythmias and changes in conduction time, which could theoretically contribute to the risk of AMI."
180,Acute myocardial infarction,Desipramine,1,"The provided documents do not directly link desipramine to acute myocardial infarction (AMI); however, they mention that seizures can precede cardiac dysrhythmias and death in patients with a history of seizure disorder taking desipramine. Additionally, desipramine can block the antihypertensive effects of certain compounds, potentially increasing cardiovascular risk, and hypertensive episodes have been observed during surgery in patients on desipramine. These factors suggest a possible, albeit indirect, pathway through which desipramine might contribute to cardiovascular adverse events, including AMI, particularly in predisposed individuals."
181,Acute myocardial infarction,Nortriptyline,1,"The provided documents do not establish a direct causal association between nortriptyline and acute myocardial infarction (AMI); however, they list myocardial infarction as a potential adverse reaction without specifying its frequency or establishing causality. The documents focus more on the risk of serotonin syndrome with concomitant serotonergic drugs, the unmasking of Brugada syndrome, and angle-closure glaucoma as concerns with nortriptyline use. Additional research and postmarketing surveillance data would be required to determine a definitive causal relationship between nortriptyline and AMI."
182,Acute myocardial infarction,Bromocriptine,1,I don't know.
